Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Index;Current range
0.25177001953125;2218.28284439937;6.878662109375E-05;0.25250244140625;25;100 µA
0.2618408203125;2218.38355239912;6.70166015625E-05;0.262481689453125;26;100 µA
0.27191162109375;2218.48426039887;6.060791015625E-05;0.27264404296875;27;100 µA
0.281982421875;2218.58496839861;5.2459716796875E-05;0.282562255859375;28;100 µA
0.29205322265625;2218.68567639836;4.52423095703125E-05;0.292755126953125;29;100 µA
0.3021240234375;2218.7863843981;3.95111083984375E-05;0.302734375;30;100 µA
0.31219482421875;2218.88709239785;3.56353759765625E-05;0.3128662109375;31;100 µA
0.322265625;2218.98780039759;3.294677734375E-05;0.322998046875;32;100 µA
0.33233642578125;2219.08850839734;3.09478759765625E-05;0.3330078125;33;100 µA
0.3424072265625;2219.18921639709;2.9638671875E-05;0.34375;34;10 µA
0.35247802734375;2219.28992439683;2.89093017578125E-05;0.353607177734375;35;10 µA
0.362548828125;2219.39063239658;2.88970947265625E-05;0.36376953125;36;10 µA
0.37261962890625;2219.49134039632;2.92449951171875E-05;0.37384033203125;37;10 µA
0.3826904296875;2219.59204839607;3.01300048828125E-05;0.38397216796875;38;10 µA
0.39276123046875;2219.69275639581;3.14422607421875E-05;0.39398193359375;39;10 µA
0.40283203125;2219.79346439556;3.33251953125E-05;0.40411376953125;40;10 µA
0.41290283203125;2219.89417239531;3.568115234375E-05;0.41424560546875;41;10 µA
0.4229736328125;2219.99488039505;3.85772705078125E-05;0.424346923828125;42;10 µA
0.43304443359375;2220.0955883948;4.208984375E-05;0.434417724609375;43;10 µA
0.443115234375;2220.19629639454;4.635009765625E-05;0.444671630859375;44;10 µA
0.45318603515625;2220.29700439429;5.1226806640625E-05;0.45477294921875;45;10 µA
0.4632568359375;2220.39771239403;5.677490234375E-05;0.46502685546875;46;10 µA
0.47332763671875;2220.49842039378;6.2982177734375E-05;0.47515869140625;47;10 µA
0.4833984375;2220.59912839353;6.9732666015625E-05;0.48419189453125;48;100 µA
0.49346923828125;2220.69983639327;7.6812744140625E-05;0.49432373046875;49;100 µA
0.5035400390625;2220.80054439302;8.3953857421875E-05;0.50445556640625;50;100 µA
0.51361083984375;2220.90125239276;9.075927734375E-05;0.514434814453125;51;100 µA
0.523681640625;2221.00196039251;9.7625732421875E-05;0.524505615234375;52;100 µA
0.53375244140625;2221.10266839225;0.000104583740234375;0.53466796875;53;100 µA
0.5438232421875;2221.203376392;0.00011151123046875;0.544830322265625;54;100 µA
0.55389404296875;2221.30408439175;0.000118408203125;0.554840087890625;55;100 µA
0.56396484375;2221.40479239149;0.00012530517578125;0.564971923828125;56;100 µA
0.57403564453125;2221.50550039124;0.000131805419921875;0.574951171875;57;100 µA
0.5841064453125;2221.60620839098;0.00013885498046875;0.585174560546875;58;100 µA
0.59417724609375;2221.70691639073;0.00014599609375;0.59515380859375;59;100 µA
0.604248046875;2221.80762439048;0.0001529541015625;0.60528564453125;60;100 µA
0.61431884765625;2221.90833239022;0.0001610107421875;0.61541748046875;61;100 µA
0.6243896484375;2222.00904038997;0.000171173095703125;0.625518798828125;62;100 µA
0.63446044921875;2222.10974838971;0.0001845703125;0.635528564453125;63;100 µA
0.64453125;2222.21045638946;0.000203582763671875;0.645721435546875;64;100 µA
0.65460205078125;2222.3111643892;0.000228912353515625;0.655792236328125;65;100 µA
0.6646728515625;2222.41187238895;0.000260406494140625;0.665985107421875;66;100 µA
0.67474365234375;2222.51258038869;0.00029827880859375;0.676177978515625;67;100 µA
