Time (s);WE(1).Potential (V);Corrected time (s);Index;WE(1).Current (A);Current range
1165.29733005791;-0.94390869140625;1163.99999706118;1165;-0.000499908447265625;1 mA
1166.29733005538;-0.9442138671875;1164.99999705866;1166;-0.000499908447265625;1 mA
1167.29733005286;-0.9442138671875;1165.99999705613;1167;-0.0004998779296875;1 mA
1168.29733005033;-0.94451904296875;1166.99999705361;1168;-0.0004998779296875;1 mA
1169.29733004781;-0.94451904296875;1167.99999705108;1169;-0.000499908447265625;1 mA
1170.29733004528;-0.94482421875;1168.99999704856;1170;-0.00049993896484375;1 mA
1171.29733004276;-0.94482421875;1169.99999704603;1171;-0.000499847412109375;1 mA
1172.29733004023;-0.94512939453125;1170.99999704351;1172;-0.000499908447265625;1 mA
1173.29733003771;-0.94512939453125;1171.99999704098;1173;-0.00049993896484375;1 mA
1174.29733003518;-0.9454345703125;1172.99999703846;1174;-0.00049993896484375;1 mA
1175.29733003266;-0.9454345703125;1173.99999703593;1175;-0.0004998779296875;1 mA
1176.29733003013;-0.94573974609375;1174.99999703341;1176;-0.0004998779296875;1 mA
1177.29733002761;-0.94573974609375;1175.99999703089;1177;-0.0004998779296875;1 mA
1178.29733002509;-0.946044921875;1176.99999702836;1178;-0.00049993896484375;1 mA
1179.29733002256;-0.946044921875;1177.99999702584;1179;-0.000499847412109375;1 mA
1180.29733002004;-0.94635009765625;1178.99999702331;1180;-0.000499908447265625;1 mA
1181.29733001751;-0.94635009765625;1179.99999702079;1181;-0.00049993896484375;1 mA
1182.29733001499;-0.94635009765625;1180.99999701826;1182;-0.0004998779296875;1 mA
1183.29733001246;-0.9466552734375;1181.99999701574;1183;-0.00049993896484375;1 mA
1184.29733000994;-0.94696044921875;1182.99999701321;1184;-0.0004998779296875;1 mA
1185.29733000741;-0.94696044921875;1183.99999701069;1185;-0.00049981689453125;1 mA
1186.29733000489;-0.94696044921875;1184.99999700816;1186;-0.000499908447265625;1 mA
1187.29733000236;-0.947265625;1185.99999700564;1187;-0.000499908447265625;1 mA
1188.29732999984;-0.947265625;1186.99999700311;1188;-0.000499908447265625;1 mA
1189.29732999731;-0.94757080078125;1187.99999700059;1189;-0.00049993896484375;1 mA
1190.29732999479;-0.94757080078125;1188.99999699806;1190;-0.000499908447265625;1 mA
1191.29732999226;-0.9478759765625;1189.99999699554;1191;-0.0004998779296875;1 mA
1192.29732998974;-0.9478759765625;1190.99999699301;1192;-0.0004998779296875;1 mA
1193.29732998721;-0.94818115234375;1191.99999699049;1193;-0.000499908447265625;1 mA
1194.29732998469;-0.94818115234375;1192.99999698796;1194;-0.0004998779296875;1 mA
1195.29732998216;-0.948486328125;1193.99999698544;1195;-0.00049993896484375;1 mA
1196.29732997964;-0.948486328125;1194.99999698292;1196;-0.000499908447265625;1 mA
1197.29732997711;-0.94879150390625;1195.99999698039;1197;-0.000499908447265625;1 mA
1198.29732997459;-0.94879150390625;1196.99999697787;1198;-0.000499908447265625;1 mA
1199.29732997207;-0.9490966796875;1197.99999697534;1199;-0.00049993896484375;1 mA
1200.29732996954;-0.9490966796875;1198.99999697282;1200;-0.00049993896484375;1 mA
1201.29732996702;-0.94940185546875;1199.99999697029;1201;-0.000499908447265625;1 mA
1202.29732996449;-0.94940185546875;1200.99999696777;1202;-0.00049993896484375;1 mA
1203.29732996197;-0.94970703125;1201.99999696524;1203;-0.0004998779296875;1 mA
1204.29732995944;-0.94970703125;1202.99999696272;1204;-0.00049993896484375;1 mA
1205.29732995692;-0.95001220703125;1203.99999696019;1205;-0.0004998779296875;1 mA
1206.29732995439;-0.95001220703125;1204.99999695767;1206;-0.000499847412109375;1 mA
1207.29732995187;-0.9503173828125;1205.99999695514;1207;-0.00049993896484375;1 mA
1208.29732994934;-0.9503173828125;1206.99999695262;1208;-0.0004998779296875;1 mA
1209.29732994682;-0.95062255859375;1207.99999695009;1209;-0.000499847412109375;1 mA
1210.29732994429;-0.95062255859375;1208.99999694757;1210;-0.000499847412109375;1 mA
1211.29732994177;-0.950927734375;1209.99999694504;1211;-0.000499908447265625;1 mA
1212.29732993924;-0.950927734375;1210.99999694252;1212;-0.000499908447265625;1 mA
1213.29732993672;-0.95123291015625;1211.99999693999;1213;-0.0004998779296875;1 mA
1214.29732993419;-0.95123291015625;1212.99999693747;1214;-0.00049993896484375;1 mA
1215.29732993167;-0.9515380859375;1213.99999693494;1215;-0.000499908447265625;1 mA
1216.29732992914;-0.9515380859375;1214.99999693242;1216;-0.0004998779296875;1 mA
1217.29732992662;-0.95184326171875;1215.9999969299;1217;-0.00049993896484375;1 mA
1218.29732992409;-0.95184326171875;1216.99999692737;1218;-0.0004998779296875;1 mA
1219.29732992157;-0.9521484375;1217.99999692485;1219;-0.0004998779296875;1 mA
1220.29732991905;-0.9521484375;1218.99999692232;1220;-0.000499908447265625;1 mA
1221.29732991652;-0.95245361328125;1219.9999969198;1221;-0.000499847412109375;1 mA
1222.297329914;-0.95245361328125;1220.99999691727;1222;-0.000499908447265625;1 mA
1223.29732991147;-0.9527587890625;1221.99999691475;1223;-0.0004998779296875;1 mA
1224.29732990895;-0.9527587890625;1222.99999691222;1224;-0.00049993896484375;1 mA
1225.29732990642;-0.95306396484375;1223.9999969097;1225;-0.000499847412109375;1 mA
1226.2973299039;-0.95306396484375;1224.99999690717;1226;-0.000499847412109375;1 mA
1227.29732990137;-0.953369140625;1225.99999690465;1227;-0.0004998779296875;1 mA
1228.29732989885;-0.953369140625;1226.99999690212;1228;-0.0004998779296875;1 mA
1229.29732989632;-0.95367431640625;1227.9999968996;1229;-0.000499908447265625;1 mA
1230.2973298938;-0.95367431640625;1228.99999689707;1230;-0.00049993896484375;1 mA
1231.29732989127;-0.9539794921875;1229.99999689455;1231;-0.000499908447265625;1 mA
1232.29732988875;-0.9539794921875;1230.99999689202;1232;-0.0004998779296875;1 mA
1233.29732988622;-0.95428466796875;1231.9999968895;1233;-0.0004998779296875;1 mA
1234.2973298837;-0.95428466796875;1232.99999688697;1234;-0.000499969482421875;1 mA
1235.29732988117;-0.95458984375;1233.99999688445;1235;-0.000499908447265625;1 mA
1236.29732987865;-0.95458984375;1234.99999688192;1236;-0.0004998779296875;1 mA
1237.29732987612;-0.95489501953125;1235.9999968794;1237;-0.000499908447265625;1 mA
1238.2973298736;-0.95489501953125;1236.99999687688;1238;-0.0004998779296875;1 mA
1239.29732987107;-0.9552001953125;1237.99999687435;1239;-0.00049993896484375;1 mA
1240.29732986855;-0.9552001953125;1238.99999687183;1240;-0.0004998779296875;1 mA
1241.29732986603;-0.95550537109375;1239.9999968693;1241;-0.00049993896484375;1 mA
1242.2973298635;-0.95550537109375;1240.99999686678;1242;-0.000499969482421875;1 mA
1243.29732986098;-0.955810546875;1241.99999686425;1243;-0.000499908447265625;1 mA
1244.29732985845;-0.955810546875;1242.99999686173;1244;-0.000499908447265625;1 mA
1245.29732985593;-0.95611572265625;1243.9999968592;1245;-0.000499847412109375;1 mA
1246.2973298534;-0.95611572265625;1244.99999685668;1246;-0.000499908447265625;1 mA
1247.29732985088;-0.9564208984375;1245.99999685415;1247;-0.0004998779296875;1 mA
1248.29732984835;-0.95672607421875;1246.99999685163;1248;-0.000499847412109375;1 mA
1249.29732984583;-0.95672607421875;1247.9999968491;1249;-0.000499969482421875;1 mA
1250.2973298433;-0.95703125;1248.99999684658;1250;-0.0004998779296875;1 mA
1251.29732984078;-0.95703125;1249.99999684405;1251;-0.000499969482421875;1 mA
1252.29732983825;-0.95733642578125;1250.99999684153;1252;-0.00049993896484375;1 mA
1253.29732983573;-0.95733642578125;1251.999996839;1253;-0.000499847412109375;1 mA
1254.2973298332;-0.9576416015625;1252.99999683648;1254;-0.000499908447265625;1 mA
1255.29732983068;-0.9576416015625;1253.99999683395;1255;-0.000499908447265625;1 mA
1256.29732982815;-0.95794677734375;1254.99999683143;1256;-0.00049993896484375;1 mA
1257.29732982563;-0.95794677734375;1255.9999968289;1257;-0.000499969482421875;1 mA
1258.2973298231;-0.958251953125;1256.99999682638;1258;-0.0004998779296875;1 mA
1259.29732982058;-0.958251953125;1257.99999682386;1259;-0.000499908447265625;1 mA
1260.29732981806;-0.95855712890625;1258.99999682133;1260;-0.000499908447265625;1 mA
1261.29732981553;-0.95855712890625;1259.99999681881;1261;-0.000499908447265625;1 mA
1262.29732981301;-0.9588623046875;1260.99999681628;1262;-0.00049993896484375;1 mA
1263.29732981048;-0.9588623046875;1261.99999681376;1263;-0.0004998779296875;1 mA
1264.29732980796;-0.95916748046875;1262.99999681123;1264;-0.00049993896484375;1 mA
1265.29732980543;-0.95916748046875;1263.99999680871;1265;-0.0004998779296875;1 mA
1266.29732980291;-0.95947265625;1264.99999680618;1266;-0.00049993896484375;1 mA
1267.29732980038;-0.95977783203125;1265.99999680366;1267;-0.000499969482421875;1 mA
1268.29732979786;-0.95977783203125;1266.99999680113;1268;-0.000499908447265625;1 mA
1269.29732979533;-0.9600830078125;1267.99999679861;1269;-0.000499908447265625;1 mA
1270.29732979281;-0.9600830078125;1268.99999679608;1270;-0.00049993896484375;1 mA
1271.29732979028;-0.96038818359375;1269.99999679356;1271;-0.000499908447265625;1 mA
1272.29732978776;-0.96038818359375;1270.99999679103;1272;-0.00049993896484375;1 mA
1273.29732978523;-0.960693359375;1271.99999678851;1273;-0.000499908447265625;1 mA
1274.29732978271;-0.960693359375;1272.99999678598;1274;-0.00049993896484375;1 mA
1275.29732978018;-0.96099853515625;1273.99999678346;1275;-0.000499908447265625;1 mA
1276.29732977766;-0.96099853515625;1274.99999678093;1276;-0.000499908447265625;1 mA
1277.29732977513;-0.9613037109375;1275.99999677841;1277;-0.000499908447265625;1 mA
1278.29732977261;-0.96160888671875;1276.99999677588;1278;-0.000499847412109375;1 mA
